牌号,对应标准,归类,标签,说明,美国UNS,ASTM  型号或牌号,性能,中国ISC,德国W-Nr.,欧标钢号,密度,旧牌号,其他名称,ISO数字牌号,SAE  钢号,AISI  美国钢铁协会
1075,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10750,,,,,,,,,,,
CE35E4,ISO 4954-1993 冷镦和冷挤压用钢,碳钢,调质型冷镦钢,,,,,,,,,C3,,,,
USt37-2,DIN 17100-1980 普通结构钢质量标准,碳钢,,① 适用范围： 本标准适用于型钢(宽缘工字钢)、 条钢、 线材、 扁钢〈 带钢、 板材、 宽扁钢〉 、 无缝空心型材与可焊正方形和长方形空心型材、 表一至表三中列出的用于热轧或常化状 态交货的普通结构钢的预锻件和板坯。 ② 按照本标准制造的钢材适用于焊接、 铆合与螺栓连接的建筑构件。 ③ 本标准内所列各种钢材的比重采用7.85kg/m3,,,,,1.0036,,7.85 g/cm3,1.0112,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10710,1071,锻压性,,,,,,,,,
1522H,ASTM A304-2016 须符合淬火淬透性要求的碳钢与合金钢棒材规范,碳钢,,,H15220,,,,,,,,,,,
C30,ISO 683-18-1996 热处理钢、合金钢和易切削钢,碳钢,直接淬火钢  优质非合金结构钢,,,,,,,,,,,,,
,SAE J 1268-2010 碳素和合金工字钢用保证淬透性钢带,碳钢,,,H15371,,,,,,,,,,15B37H,
E5716-NCC,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
A325 Type 1 Carbon Boron Steel,ASTM A325-2014 经热处理的钢结构螺栓，最小抗拉强度120/105ksi,碳钢,,,,,,,,,,,,,,
P265GH,EN 10028-2-2017 压力容器用钢扁平产品――第2部分： 规定高温性能的非合金和合金钢,碳钢,,,,,,,,1.0425,,,,,,
S235J2G3,EN 10250-2-2000 一般工程用自由锻钢锻件.第2部分:非合金钢和特种钢,碳钢,,,,,,,,1.0116,,,,,,
A615 Grade 40,ASTM A615/A615M-2020 钢筋混凝土配筋用变形和光面坯钢筋,碳钢,,,,,,,,,,,A615 Grade 280,,,
C4C,EN 10263-2-2001 冷镦和冷挤压用钢棒、杆和丝.第2部分:冷加工后不热处的钢的交货技术条件,碳钢,非热处理钢,EN10263 标准的本部分适用于用于冷镦和冷挤压，对最终零件无需进行后续热处理的，直径不大 于 100mm 的圆形非合金钢或合金钢钢棒、盘条和钢丝,,,锻压性,,,1.0303,,,,,,
L290N/X42N,GB /T 14164-2013 石油天然气输送管用热轧宽钢带,碳钢,,,,,,,,,,S290,,,,
23B2,EN 10263-4-2001 冷加工和冷挤压的钢棒、棒材和线材 第4部分 淬火和回火钢交货的一般技术条件,碳钢,调质钢  硼钢,,,,,,,1.5508,,,,,,
50,GB /T 699-2015 优质碳素结构钢,碳钢,,强度高，弹性性能好，冷变形塑性低，可加工性中等，焊接性差，无回火脆性，淬透性较低，水淬时易产生裂纹。多在正火、淬火后回火，或高频感应淬火后使用。 用作耐磨性要求高、动载荷及冲击作用不大的机械零件，如锻造齿轮、拉杆、轧辊、轴摩擦盘、机床主轴、发动机曲轴、农业机械犁铧、重载荷心轴等，以及较次要的减震弹簧、弹簧垫圈等 本标准适用于公称直径或厚度不大于250mm热轧和锻制优质碳素结构钢棒材，经供需双方协商，也可提供公称直径或厚度大于250mm热轧和锻制优质碳素结构钢棒材。,,,强度  硬度  弹性,U20502,,,,50#,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10380,1038,锻压性,,,,,,,,,
U6,AS 1442-2007 碳素钢和碳锰钢 - 热轧棒材和半成品,碳钢,碳锰钢,本标准规定了用于锻造和一般工程用途的在轧制或正火状态下交付的碳钢和碳锰钢棒材、棒材、坯料和板坯的要求。它规定了所有牌号的化学成分要求，以及满足机械性能要求的牌号的抗拉强度要求。该标准允许添加硼和微合金元素来实现特殊性能。,,,,,,,,,,,,
E5528-N1,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
C35E4,ISO 683-18-1996 热处理钢、合金钢和易切削钢,碳钢,直接淬火钢  优质非合金结构钢,,,,,,,,,,,,,
C10Pb,DIN 17210-1986 渗碳钢.交货技术条件,碳钢,,本标准适用于原件表2列出的表面硬化钢制造的如下形式的产品： ——毛坯，例如初轧坯、扁坯、棒料毛坯； ——热轧钢丝； ——热轧或锻制的钢棒（圆钢、方钢、六角钢、八角钢和扁钢）； ——热轧宽扁钢； ——热轧或冷轧钢板或带钢 ——自由锻件和模锻件,,,,,1.0302,,,,,,,
PL 23,ISO 9330-5-2000 规定低温性能的埋弧焊非合金和合金钢管,碳钢,,,,,,,,,,,,,,
HC180P,EN 10268-2006 由冷成形高弯曲强度冷轧钢薄平板制品.交付技术条件,碳钢,,,,,,,,1.0342,,,,,,
15B2,DIN EN 10263-3-2018 冷镦和冷挤压用棒、杆、线材-第3部分：交货条件表面硬化钢,碳钢,渗碳钢,1.本标准适用于直径不超过100mm的非合金和合金钢圆棒、圆杆和线材，用于冷镦、冷挤压和表面硬化钢 2.DIN EN 10263-1 对于本标准是必不可少的。,,,,,1.5501,,,,,,,
35SPb20,DIN EN ISO 683-4-2018 热处理钢、合金钢和易切削钢 -- 第4部分：易切削钢,碳钢,调质钢,,,,易切削性  淬透性,,,,,,,,,
SWRCH17K,JIS G 3507-1-2010 冷镦用碳钢 盘条,碳钢,镇静钢,,,,锻压性,,,,,,,,,
9S20,ISO 683-9-1988 热处理钢、合金钢和易切削钢.第9部分:锻造易切削钢,碳钢,非热处理型易切削钢  硫系易切削钢,,,,易切削性,,,,,,,1,,
8,GOST 1050-1988 表面光洁的优质碳素结构钢棒料规格,碳钢,优质碳素结构钢  镇静钢,相当于我国的08钢,,,焊接性  渗碳性,,,,,,,,,
XK1515,AS /NZS 3678-2016 热轧结构钢板、波纹板和厚板,碳钢,,,,,,,,,,,,,,
E4324,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
S460J0,DIN EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,镇静钢,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,1.0538,,7.85 g/cm3,,,,,
CE20BG1,ISO 4954-1993 冷镦和冷挤压用钢,碳钢,调质型冷镦钢  硼钢,,,,,,,,,E1,,,,
SWRH52A,JIS G 3506-2017 高碳钢线材,碳钢,,用于制造高碳钢丝、油回火钢丝、预应力混凝土用高碳钢丝、镀锌钢丝绳、钢缆等的线材。同时，钢琴线材也包括在其中,,,,,,,,,,,,
DX54D+Z,GB /T 2518-2019 连续热镀锌和锌合金镀层钢板及钢带,碳钢,无间隙原子钢,镀层代号：纯锌镀层(Z)，锌铁合金镀层(ZF)，锌铝合金镀层(ZA)，铝锌合金镀层(AZ),,,,,,,,,DX54D+ZF  DX54D+ZA  DX54D+AZ,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,磷和硫处理碳素钢,,G12130,1213,,,,,,,,,,
44SMnPb28,ISO 683-18-2014 热处理钢、合金钢和易切削钢 -- 第18部分：光面钢制品,碳钢,,,,,,,,,,,,,,
TW 320,ISO 9330-1-1990 规定室温性能的非合金钢管,碳钢,,,,,,,,,,,,,,
45Mn,GB /T 699-1999 优质碳素结构钢,碳钢,,特性及适用范围：45Mn中碳调质钢，强度、韧性及淬透性均比45号钢高，调质处理后可获得较好的综合力学性能，切削加工性能尚好，但焊接性能差，冷变形塑性低，有回火脆性倾向，一般在调质状态下使用，也可在淬火和回火或正火状态下使用。用于制造受磨损的零件，如转轴、心轴、曲轴、花键轴、连杆、万向节轴、啮合杆、齿轮、离合器盘、螺栓、螺母等。 这是一种取代40Cr钢比较成功的新钢种，它具有较高的强度、硬度、 耐磨性及良好的韧性，其淬透性较40Cr稍高，在油中临界淬透直径达18～33mm；正火后可切削性良好，冷拔、滚丝、攻丝和锻造、热处理工艺性能也都较好，高温下晶粒长大、氧化、脱碳倾向及淬火变形倾向均较小；但有回火脆性，回火稳定性比40Cr钢稍差。当制作尺寸较小的零件时此钢亦可代替40CrNi钢使用。 本标准适用于直径或厚度不大于250mm的优质碳素结构钢棒材，经供需双方协商，也可提供直径或厚度大于250mm的优质碳素结构钢棒材。,,,冲击韧性  耐疲劳性  易切削性,U21452,,,,,,,,
SWRCH18A,Q/BQB 517-2018 冷镦钢盘条,碳钢,铝镇静钢,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
SS540,JIS G 3101-2011 普通结构用轧制钢材,碳钢,,,,,,,,,,SS55,,,,
1078,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10780,,,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10740,1074,锻压性,,,,,,,,,
SWCH 41K,JIS G 3507-2-2005 冷镦碳钢 - 第2部分：线材,碳钢,镇静钢,①本标准规定了冷镦用碳钢钢丝，用于制造各种类型的螺钉(如螺栓、螺母、铆钉、机螺钉、自攻螺钉等)和用冷镦制造的各种零件。 ②用于制造本标准钢丝的盘条应符合JIS G 3507-1的规定。,,,锻压性,,,,,,,,,
C30M2,ISO 683-18-1996 热处理钢、合金钢和易切削钢,碳钢,直接淬火钢  优质非合金结构钢,,,,,,,,,,,,,
,SAE J 1268-2010 碳素和合金工字钢用保证淬透性钢带,碳钢,,,H15411,,,,,,,,,,15B41H,
E5728-NCC,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
ZG 200-400,GB /T 11352-2009 一般工程用铸造碳钢件,碳钢,,,,,,,,,,,,,,
A325 Type 1 Carbon Steel,ASTM A325M-2014 经热处理的钢结构螺栓，最小抗拉强度830MPa,碳钢,,,,,,,,,,,,,,
P295GH,EN 10028-2-2017 压力容器用钢扁平产品――第2部分： 规定高温性能的非合金和合金钢,碳钢,,,,,,,,1.0481,,,,,,
1003,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10030,,,,,,,,,,,
A615 Grade 60,ASTM A615/A615M-2020 钢筋混凝土配筋用变形和光面坯钢筋,碳钢,,,,,,,,,,,A615 Grade 420,,,
35S20,ISO 683-4-2016 热处理钢、合金钢和易切削钢 -- 第4部分：易切削钢,碳钢,调质钢,,,,易切削性  淬透性,,,,,,,,,
ML08Al,GB T 6478-2001 冷镦和冷挤压用钢,碳钢,铝镇静钢,该钢为非热处理型冷镦和冷挤压用钢。是用作生产紧固件，标准件，连接件以及五金产品的原料。由于其冷成型性能良好，用冷镦代替机加工，既可简化工艺，又可节省材料，具有生产效率高的特点，有着明显的经济效益。,,,,U40088,,,,,,,,
L320N/X46N,GB /T 14164-2013 石油天然气输送管用热轧宽钢带,碳钢,,,,,,,,,,S320,,,,
XC12,NF A 35-551-1986 渗碳处理的碳素结构钢和特殊合金结构钢钢号 半成品、棒材和线,碳钢,,,,,渗碳性,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,可用于制造沉头半空心铆钉,G10050,1005,锻压性,,,,,,,,,
10B30,Q/BQB 517-2018 冷镦钢盘条,碳钢,硼钢,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
55,GB /T 699-2015 优质碳素结构钢,碳钢,,强度和硬度较50钢高，弹性性能好，塑性和韧性低，可加工性中等，焊接性差、淬透性较差，水淬具有形成裂纹的倾向。多在正火或调质处理后使用。 用于制造高强度、高弹性、高耐磨性机件、如齿轮、连杆、轮圈、轮缘、机车轮箍、扁弹簧、热轧轧辊等 本标准适用于公称直径或厚度不大于250mm热轧和锻制优质碳素结构钢棒材，经供需双方协商，也可提供公称直径或厚度大于250mm热轧和锻制优质碳素结构钢棒材。,,,强度  硬度,U20552,,,,55#,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10420,1042,锻压性,,,,,,,,,
E5015-N2,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
S35C,JIS G 4051-2005 机械结构用碳素钢,碳钢,,本标准对由热轧、热锻等热加工制成，通常用于锻造、切削加工及实施热处理的机械用碳素结构钢做了规定。不适用于管材,,,,,,,,,,,,
Ck10,DIN 17210-1986 渗碳钢.交货技术条件,碳钢,高级优质非合金钢,本标准适用于原件表2列出的表面硬化钢制造的如下形式的产品： ——毛坯，例如初轧坯、扁坯、棒料毛坯； ——热轧钢丝； ——热轧或锻制的钢棒（圆钢、方钢、六角钢、八角钢和扁钢）； ——热轧宽扁钢； ——热轧或冷轧钢板或带钢 ——自由锻件和模锻件,,,,,1.1121,,,,,,,
F959 Type 1 Series,ASTM F959/959M-2017 结构紧固件型直接张力指示器使用可压缩垫圈的标准规范,碳钢,,,,,,,,,,,,,,
SWRCH18K,JIS G 3507-1-2010 冷镦用碳钢 盘条,碳钢,镇静钢,,,,锻压性,,,,,,,,,
Y12,GB /T 8731-2008 易切削结构钢,碳钢,硫系易切削钢,"钢种磷含量较高，可加工性比15钢明显提高，其强度接近15Mn钢，而塑性略低，焊接性较好 用于机床加工标准件，切削速度可达60m/min,常用于制作力学性能要求不高的零件，如双头螺栓、螺杆、螺母、销钉，以及手表零件、仪表的精密小部件。 本标准适用于机械切削加工用条钢、盘条、钢丝、钢板及钢带等钢材，其化学成分同样适用于锭、坯及其制品",,,,U71122,,,,,,,,
10,GOST 1050-1988 表面光洁的优质碳素结构钢棒料规格,碳钢,优质碳素结构钢  镇静钢,相当于我国的10钢,,,焊接性  渗碳性,,,,,,,,,
S55C,JIS G 4051-2005 机械结构用碳素钢,碳钢,,本标准对由热轧、热锻等热加工制成，通常用于锻造、切削加工及实施热处理的机械用碳素结构钢做了规定。不适用于管材,,,,,,,,,,,,
SAE1018,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
